ID,Produto,Marca,Vendas,Valor Unitário,Categoria,Data da Venda,Nome do Cliente,Cidade do Cliente
96,Aspirador de Pó,Philco,1,262.0,Eletroportáteis,2025-06-11,Ana Azevedo,Araújo
97,Secadora,Brastemp,4,3703.47,Linha Branca,2024-07-08,João Gabriel Monteiro,Martins
98,Geladeira,LG,4,3514.21,Linha Branca,2025-03-13,Vitória das Neves,Fogaça
99,Secadora,Midea,5,2841.23,Linha Branca,2024-08-22,Evelyn Nascimento,Moraes
100,Cafeteira,Samsung,4,2026.43,Eletroportáteis,2023-10-11,Clara da Mota,Barbosa
101,Ar-Condicionado,LG,2,5100.29,Climatização,2024-05-21,Laura Teixeira,Gonçalves
102,Liquidificador,Brastemp,3,4343.16,Eletroportáteis,2023-09-26,João Lucas da Conceição,Correia Paulista
103,Fogão,Brastemp,3,3059.39,Linha Branca,2025-03-19,Anthony Lima,Vieira
104,Televisão,Electrolux,5,535.87,Eletrônicos,2024-11-16,Stella Araújo,Pinto das Flores
105,Liquidificador,Philco,4,557.62,Eletroportáteis,2024-04-29,Ana Júlia Costela,Nascimento de da Rosa
106,Aspirador de Pó,Samsung,5,650.11,Eletroportáteis,2023-09-11,Marina Peixoto,das Neves de Minas
107,Televisão,LG,5,286.93,Eletrônicos,2023-11-15,Maria Fernanda Sales,da Cruz do Campo
108,Fogão,LG,4,3097.47,Linha Branca,2025-07-06,Ana Carolina Moraes,Lima Paulista
109,Aspirador de Pó,Consul,2,1983.56,Eletroportáteis,2025-02-15,Clarice Cavalcanti,da Luz dos Dourados
110,Aspirador de Pó,Britânia,4,5915.8,Eletroportáteis,2024-08-28,Nina Campos,da Paz Grande
111,Aspirador de Pó,Mondial,5,2790.89,Eletroportáteis,2024-08-26,Ana Aragão,Mendes
112,Televisão,Philco,5,3904.8,Eletrônicos,2023-09-11,Dr. Leonardo da Paz,Rezende
113,Fogão,Mondial,4,4164.22,Linha Branca,2023-09-26,Emanuel Fogaça,da Paz do Campo
114,Aspirador de Pó,Samsung,2,1047.01,Eletroportáteis,2024-04-04,João Miguel da Mota,Silva
115,Liquidificador,Midea,5,5118.76,Eletroportáteis,2025-05-13,Noah das Neves,Barbosa
116,Aspirador de Pó,Consul,2,1738.44,Eletroportáteis,2025-04-09,Cauê da Paz,Moreira
117,Micro-ondas,Britânia,5,2364.14,Eletroportáteis,2023-11-16,Isabella Azevedo,Santos
118,Máquina de Lavar,Panasonic,2,1414.36,Linha Branca,2023-09-18,Nina Porto,Correia
119,Secadora,Midea,1,4807.29,Linha Branca,2025-04-13,Maitê Nascimento,Oliveira
120,Geladeira,Brastemp,4,3347.4,Linha Branca,2024-07-22,Pedro Henrique Viana,Porto de Almeida
121,Fogão,Samsung,2,3609.39,Linha Branca,2023-12-13,Francisco da Cunha,Moreira do Norte
122,Máquina de Lavar,Philco,5,5704.27,Linha Branca,2023-09-25,Stephany Mendes,Pereira
123,Liquidificador,LG,2,5667.39,Eletroportáteis,2023-12-04,Sra. Ana Sophia da Paz,Gonçalves das Pedras
124,Aspirador de Pó,Consul,2,5804.65,Eletroportáteis,2024-01-06,Pedro Miguel Monteiro,Cardoso Verde
125,Liquidificador,Mondial,1,5567.4,Eletroportáteis,2023-09-06,Sra. Heloísa Rocha,Moreira de Sales
126,Máquina de Lavar,Consul,4,3795.72,Linha Branca,2024-08-28,Amanda Santos,Souza
127,Micro-ondas,LG,5,877.11,Eletroportáteis,2025-07-09,Laura Vieira,Ramos
128,Aspirador de Pó,Philco,2,4488.9,Eletroportáteis,2023-10-13,Raul Pereira,da Rosa
129,Ar-Condicionado,Philco,3,2096.99,Climatização,2024-04-10,Vitória Cardoso,Gonçalves
130,Micro-ondas,Brastemp,1,5274.82,Eletroportáteis,2023-12-10,Caroline Aragão,da Conceição
131,Liquidificador,Brastemp,5,2626.96,Eletroportáteis,2024-10-04,Luana Martins,Porto do Sul
132,Ar-Condicionado,Samsung,4,3013.14,Climatização,2023-11-17,Luiz Miguel Silveira,Gonçalves do Galho
133,Micro-ondas,Electrolux,1,4504.76,Eletroportáteis,2024-05-07,João da Cunha,Nunes do Oeste
134,Secadora,Philco,2,1181.57,Linha Branca,2023-11-03,Srta. Ana Beatriz Ferreira,Campos
135,Máquina de Lavar,Consul,4,1548.44,Linha Branca,2024-08-25,Júlia Martins,Fernandes
136,Máquina de Lavar,Mondial,2,4586.33,Linha Branca,2023-10-13,Bernardo da Rocha,Costa
137,Fogão,Mondial,2,2462.08,Linha Branca,2024-01-25,Isaac Caldeira,Monteiro Verde
138,Máquina de Lavar,Consul,2,3612.61,Linha Branca,2024-04-01,Pietro da Conceição,Vieira
139,Liquidificador,Samsung,3,5153.32,Eletroportáteis,2025-02-18,Cauã Duarte,Souza
140,Secadora,Midea,2,3145.63,Linha Branca,2025-05-13,Heloísa Oliveira,Fernandes da Mata
141,Máquina de Lavar,Midea,1,3348.96,Linha Branca,2024-05-30,Enrico Cavalcanti,da Mata de Peixoto
142,Geladeira,Mondial,5,3025.81,Linha Branca,2025-01-20,Fernanda Gomes,das Neves
143,Geladeira,Mondial,5,1939.74,Linha Branca,2024-01-20,Benício Monteiro,Moreira
144,Fogão,Panasonic,2,5937.24,Linha Branca,2024-03-01,Eduarda Lopes,Almeida
145,Micro-ondas,LG,5,3662.62,Eletroportáteis,2024-12-12,Ana Costa,Souza Verde
146,Liquidificador,Panasonic,1,5573.44,Eletroportáteis,2024-08-26,Maria Eduarda Silva,Costa da Mata
147,Aspirador de Pó,Samsung,4,5374.04,Eletroportáteis,2023-09-21,Pietra Moraes,Alves da Prata
148,Cafeteira,Panasonic,5,4237.49,Eletroportáteis,2024-06-06,Alana Ribeiro,Souza das Pedras
149,Aspirador de Pó,Panasonic,4,4617.95,Eletroportáteis,2023-08-24,Antônio Peixoto,Sales Alegre
150,Máquina de Lavar,Britânia,2,1885.18,Linha Branca,2025-01-01,Lara da Conceição,Castro das Pedras
151,Micro-ondas,Brastemp,1,5623.37,Eletroportáteis,2025-06-29,Sra. Bruna Moraes,Jesus
152,Liquidificador,Midea,1,1811.75,Eletroportáteis,2025-01-28,Emilly Novaes,da Cruz
153,Geladeira,LG,4,3327.96,Linha Branca,2025-06-15,Marcelo Peixoto,Costela
154,Televisão,Midea,4,4675.63,Eletrônicos,2024-11-10,Agatha Ramos,Porto de Minas
155,Ar-Condicionado,Brastemp,2,3059.52,Climatização,2023-11-19,Felipe da Rocha,Silva
156,Máquina de Lavar,Britânia,4,4994.88,Linha Branca,2023-12-05,Giovanna Souza,Barbosa
157,Micro-ondas,Consul,4,3974.01,Eletroportáteis,2025-02-10,Raul Santos,da Rosa
158,Ar-Condicionado,Brastemp,4,3306.27,Climatização,2025-02-20,Bruno Cardoso,Rezende
159,Aspirador de Pó,Samsung,3,3770.35,Eletroportáteis,2024-05-20,Nathan Santos,Mendes do Norte
160,Secadora,Electrolux,1,4397.93,Linha Branca,2024-05-19,Luiz Felipe da Luz,Porto de Oliveira
161,Máquina de Lavar,LG,3,1961.34,Linha Branca,2024-07-24,Dr. Luigi Freitas,Nogueira
162,Cafeteira,Brastemp,4,5594.77,Eletroportáteis,2025-01-02,Maria Cecília Ribeiro,Novaes
163,Geladeira,Consul,4,3673.04,Linha Branca,2025-03-22,Sophia Mendes,Lima
164,Ar-Condicionado,Consul,3,1848.24,Climatização,2024-07-26,Rodrigo da Rosa,Nunes
165,Secadora,Midea,1,5143.48,Linha Branca,2024-04-30,Davi Lucca Gonçalves,Teixeira
166,Cafeteira,Panasonic,3,1153.16,Eletroportáteis,2024-08-21,Renan Cunha,Nogueira Verde
167,Fogão,Brastemp,3,3335.78,Linha Branca,2023-12-13,Dr. Levi Gonçalves,Carvalho
168,Ar-Condicionado,Midea,3,576.04,Climatização,2024-02-06,Camila Araújo,Cavalcanti
169,Cafeteira,Electrolux,5,3798.4,Eletroportáteis,2024-02-17,Davi Duarte,da Luz da Praia
170,Geladeira,Consul,5,1995.2,Linha Branca,2023-11-13,Lucas Gabriel Moura,Aragão da Mata
171,Cafeteira,Mondial,2,3347.11,Eletroportáteis,2024-05-19,Daniel Moreira,Duarte do Campo
172,Micro-ondas,Brastemp,3,5141.36,Eletroportáteis,2025-03-23,Erick Porto,Viana das Flores
173,Aspirador de Pó,Electrolux,3,4243.95,Eletroportáteis,2024-04-06,Kevin da Cunha,Costa
174,Cafeteira,Electrolux,2,5250.36,Eletroportáteis,2023-10-14,Levi da Luz,Peixoto
175,Fogão,Midea,5,4639.73,Linha Branca,2023-10-10,Francisco Costa,Costa
176,Secadora,Samsung,2,2578.34,Linha Branca,2024-08-16,Esther Santos,Novaes da Serra
177,Secadora,Mondial,4,1007.94,Linha Branca,2024-08-12,Pietro Rodrigues,da Costa da Serra
178,Liquidificador,Electrolux,4,4846.76,Eletroportáteis,2024-11-30,Marcelo Gonçalves,Peixoto das Pedras
179,Fogão,LG,4,5002.05,Linha Branca,2023-08-15,Mariana Lima,Dias de Barbosa
180,Secadora,Brastemp,5,1244.15,Linha Branca,2023-08-27,Luna Correia,Barbosa
181,Secadora,Mondial,4,251.81,Linha Branca,2024-03-19,Sr. Enrico Viana,Freitas
182,Secadora,Brastemp,3,3711.98,Linha Branca,2024-09-05,Srta. Luana Novaes,Moura dos Dourados
183,Aspirador de Pó,Brastemp,1,4194.63,Eletroportáteis,2025-01-26,Paulo Vieira,Sales
184,Geladeira,Philco,5,2665.0,Linha Branca,2023-12-01,Guilherme Moreira,Correia
185,Fogão,Consul,5,5693.25,Linha Branca,2023-09-08,Carolina Freitas,Mendes
186,Máquina de Lavar,Panasonic,1,2754.11,Linha Branca,2025-04-26,Lorena Santos,Caldeira da Serra
187,Fogão,Mondial,3,4219.72,Linha Branca,2023-11-11,Srta. Camila Ferreira,da Costa
188,Cafeteira,Brastemp,3,5671.08,Eletroportáteis,2024-04-26,Dr. Kevin Moreira,Gomes Grande
189,Televisão,Panasonic,1,2465.79,Eletrônicos,2024-11-23,Davi Luiz Duarte,Caldeira da Prata
190,Ar-Condicionado,Consul,1,896.57,Climatização,2024-07-07,Brenda Fogaça,Mendes de Goiás
191,Liquidificador,Electrolux,5,4758.93,Eletroportáteis,2023-12-04,Julia Ribeiro,Pereira do Amparo
192,Secadora,Brastemp,2,4249.66,Linha Branca,2023-12-10,Ana Beatriz Nogueira,da Costa
193,Micro-ondas,Consul,4,1646.28,Eletroportáteis,2025-06-29,Bernardo da Conceição,Silva do Norte
194,Geladeira,Panasonic,1,4279.95,Linha Branca,2024-11-30,Dr. Igor Gonçalves,Jesus
195,Geladeira,Philco,2,1720.28,Linha Branca,2023-10-01,Ana Luiza Pinto,Souza da Prata
196,Aspirador de Pó,LG,3,2458.75,Eletroportáteis,2023-09-06,Ana Lívia Moura,Caldeira do Campo
197,Aspirador de Pó,Panasonic,4,3282.16,Eletroportáteis,2025-03-30,Sr. Rafael Teixeira,das Neves
198,Aspirador de Pó,Consul,1,1719.58,Eletroportáteis,2024-11-07,Davi da Cunha,Farias do Norte
199,Micro-ondas,Britânia,2,2232.71,Eletroportáteis,2025-06-05,Luna Ferreira,da Rocha
200,Máquina de Lavar,Electrolux,1,5889.85,Linha Branca,2023-07-28,Maria Eduarda Martins,Costa
201,Ar-Condicionado,Midea,3,288.83,Climatização,2025-01-12,Marcela Nascimento,Araújo
202,Liquidificador,Samsung,3,2389.96,Eletroportáteis,2023-11-16,Agatha Viana,da Paz
203,Cafeteira,Britânia,2,1643.74,Eletroportáteis,2025-04-06,Bernardo da Luz,Rodrigues de Goiás
204,Micro-ondas,Panasonic,2,5149.75,Eletroportáteis,2024-06-14,Helena da Paz,da Mota da Prata
205,Liquidificador,Brastemp,4,5610.97,Eletroportáteis,2023-10-21,Pedro Pereira,Alves de Lima
206,Aspirador de Pó,Britânia,4,2773.14,Eletroportáteis,2024-06-03,Maria Sophia Porto,Freitas do Norte
207,Secadora,Midea,5,1378.79,Linha Branca,2024-11-27,Pietra Costela,Barros Verde
208,Máquina de Lavar,Britânia,1,5694.88,Linha Branca,2023-12-19,Breno Costa,das Neves
209,Micro-ondas,Panasonic,4,1040.68,Eletroportáteis,2024-04-22,Thiago Pires,Melo do Oeste
210,Micro-ondas,LG,3,5953.5,Eletroportáteis,2024-02-17,Milena Porto,da Paz
211,Cafeteira,Philco,4,5646.56,Eletroportáteis,2025-01-16,Sarah Monteiro,Silva
212,Cafeteira,Panasonic,1,5649.69,Eletroportáteis,2024-08-03,Ana Júlia Ferreira,da Cruz da Prata
213,Máquina de Lavar,Britânia,5,5342.33,Linha Branca,2025-04-12,Fernando Silva,Duarte de Lopes
214,Ar-Condicionado,Midea,2,975.56,Climatização,2025-05-24,Caio Araújo,Vieira
215,Televisão,Brastemp,1,2232.26,Eletrônicos,2025-07-08,Stella Lopes,Lima
216,Máquina de Lavar,Panasonic,1,1792.79,Linha Branca,2023-08-01,Ana Lívia Aragão,Campos de Fogaça
217,Aspirador de Pó,LG,1,1888.66,Eletroportáteis,2025-02-05,Heitor Moreira,Rocha de Araújo
218,Fogão,Samsung,2,5790.68,Linha Branca,2025-03-24,Dr. Cauê da Paz,da Cruz
219,Liquidificador,LG,1,5895.82,Eletroportáteis,2024-04-03,Laís Barbosa,Moraes de Rezende
220,Liquidificador,Electrolux,2,1019.12,Eletroportáteis,2023-11-11,Luiz Otávio Dias,Dias das Flores
221,Cafeteira,Philco,4,3309.93,Eletroportáteis,2023-08-02,Emilly Caldeira,da Rosa de Nascimento
222,Liquidificador,Philco,1,866.41,Eletroportáteis,2025-06-01,Rafael Araújo,Lopes Alegre
223,Liquidificador,Panasonic,3,3375.07,Eletroportáteis,2023-08-26,Vicente Martins,Cardoso do Norte
224,Aspirador de Pó,Samsung,3,1738.92,Eletroportáteis,2025-01-24,Mirella da Luz,da Luz de Minas
225,Cafeteira,Britânia,3,1473.6,Eletroportáteis,2023-10-22,Vitor Ribeiro,das Neves das Flores
226,Geladeira,Philco,3,1396.19,Linha Branca,2023-11-08,Sra. Brenda Pereira,Ribeiro do Campo
227,Televisão,Philco,5,3346.54,Eletrônicos,2024-12-27,Sr. Juan Carvalho,Cavalcanti de Goiás
228,Micro-ondas,Electrolux,1,2586.1,Eletroportáteis,2024-06-23,Otávio Carvalho,Carvalho de Goiás
229,Aspirador de Pó,Electrolux,2,324.58,Eletroportáteis,2023-10-28,Pedro Miguel Farias,Porto da Mata
230,Geladeira,Samsung,4,3912.69,Linha Branca,2024-09-12,Srta. Maitê Gomes,Moreira
231,Televisão,Electrolux,2,5527.64,Eletrônicos,2025-01-23,Laura da Rocha,Cardoso
232,Micro-ondas,Consul,5,5606.72,Eletroportáteis,2024-05-17,Melissa da Paz,Teixeira
233,Aspirador de Pó,Panasonic,4,493.29,Eletroportáteis,2024-04-03,Maria Luiza Gonçalves,Lima do Amparo
234,Aspirador de Pó,Electrolux,2,1073.58,Eletroportáteis,2024-10-01,Dra. Luna Freitas,da Luz Alegre
235,Secadora,Brastemp,3,5207.31,Linha Branca,2024-08-09,Enzo Costela,Castro
236,Ar-Condicionado,Brastemp,5,4081.78,Climatização,2024-08-22,Dr. Daniel Viana,da Cruz de da Rocha
237,Geladeira,Samsung,3,336.96,Linha Branca,2025-03-01,Carlos Eduardo Ribeiro,Vieira
238,Cafeteira,Mondial,3,4740.72,Eletroportáteis,2023-09-14,Luiza Pinto,Barbosa
239,Micro-ondas,Consul,1,5844.89,Eletroportáteis,2023-12-22,Agatha da Cruz,Peixoto Paulista
240,Aspirador de Pó,Mondial,5,2995.38,Eletroportáteis,2025-07-06,Bruna Nunes,Cunha
241,Cafeteira,Mondial,4,2384.75,Eletroportáteis,2024-09-14,Maria Cecília Souza,Azevedo de da Cunha
242,Geladeira,LG,3,4514.41,Linha Branca,2024-04-11,Larissa Farias,Teixeira
243,Liquidificador,Britânia,5,3283.85,Eletroportáteis,2025-02-23,Bruno Caldeira,Azevedo de Vieira
244,Televisão,Philco,3,2865.84,Eletrônicos,2025-04-15,Nathan Silveira,Viana
245,Secadora,Electrolux,3,2949.64,Linha Branca,2023-11-07,Danilo Freitas,Cavalcanti
246,Geladeira,LG,2,1488.66,Linha Branca,2023-07-30,Sr. Bryan Vieira,Aragão de Goiás
247,Micro-ondas,Brastemp,3,3926.0,Eletroportáteis,2024-08-15,Sra. Manuela Viana,Barbosa
248,Geladeira,Philco,1,4644.56,Linha Branca,2025-04-17,Nina Viana,Moreira
249,Liquidificador,Brastemp,4,1385.68,Eletroportáteis,2023-12-23,Ana Luiza da Cunha,Peixoto do Amparo
250,Secadora,Consul,5,5320.16,Linha Branca,2023-07-21,Enzo Almeida,Monteiro do Campo
251,Fogão,Philco,1,838.65,Linha Branca,2025-05-27,Sr. Kaique Rezende,da Cunha
252,Geladeira,Panasonic,5,2439.64,Linha Branca,2024-01-24,Benjamin da Conceição,Araújo da Praia
253,Geladeira,Panasonic,3,491.74,Linha Branca,2025-05-28,Dra. Maria Cecília da Costa,Freitas do Norte
254,Fogão,Consul,5,2944.12,Linha Branca,2024-11-04,Bárbara Castro,Nascimento do Campo
255,Liquidificador,Samsung,3,3086.36,Eletroportáteis,2024-02-16,Sr. Otávio das Neves,Martins do Norte
256,Geladeira,Samsung,4,3311.67,Linha Branca,2023-08-17,Pedro da Luz,Cavalcanti Paulista
257,Televisão,Philco,4,4637.86,Eletrônicos,2024-10-02,João Sales,Costela
258,Micro-ondas,Philco,2,1496.38,Eletroportáteis,2024-07-25,Juan Aragão,Moreira
